pacc,rt,accumulator
20,0.448,1
21,0.32080000000000003,1
22,0.4382,1
23,0.3758,1
24,0.3128,1
23,0.3984,1
22,0.43489999999999995,2
21,0.7323999999999999,1
20,0.4587,1
19,0.4263,1
18,0.4169,1
17,0.38439999999999996,1
16,0.48260000000000003,1
15,0.2074,1
14,0.48,2
13,0.48619999999999997,1
12,0.3967,2
11,0.4627,2
10,0.5594,1
9,0.21230000000000002,2
8,0.2388,2
7,0.2775,2
6,0.24459999999999998,2
5,0.2893,2
6,0.3583,1
7,0.4119,1
8,0.3152,2
9,0.2387,2
10,0.2442,2
11,0.2779,2
12,0.3732,1
13,0.4803,1
14,0.4154,1
15,0.687,1
16,0.488,1
15,0.5672999999999999,1
14,0.462,2
13,0.7391,1
12,0.4481,1
11,0.4188,1
10,0.5217,1
9,0.2437,1
8,0.2321,2
7,0.136,1
6,0.2435,2
5,0.21509999999999999,1
6,0.2939,1
7,0.224,1
8,0.2502,2
9,0.24130000000000001,2
10,0.2737,1
11,0.32139999999999996,2
12,0.3379,2
13,0.5434,1
14,0.5938,1
15,0.3555,1
16,0.5026,1
17,0.6273,1
16,0.6473,1
15,0.5135,1
14,0.4447,1
13,0.3536,1
12,0.5219,1
11,0.2692,2
10,0.26189999999999997,2
9,0.5616,2
8,0.2321,2
7,0.26,2
6,0.30110000000000003,1
5,0.33,1
4,0.24359999999999998,1
3,0.2721,2
2,0.2289,1
1,0.43139999999999995,1
0,0.2442,1
0,0.2442,2
0,0.3842,1
0,0.2424,1
0,0.2434,1
0,0.26380000000000003,1
0,0.2541,1
0,0.2302,1
1,0.2284,2
2,0.22269999999999998,2
3,0.26689999999999997,2
4,0.21780000000000002,1
5,0.25789999999999996,1
6,0.2084,1
7,0.2819,2
8,0.2531,2
9,0.22669999999999998,2
10,0.2543,1
11,0.25789999999999996,1
12,0.3785,1
13,0.38580000000000003,2
14,0.3437,1
15,0.4843,1
16,0.4596,2
17,0.5821000000000001,2
18,0.4099,1
19,0.3398,1
20,0.31310000000000004,1
21,0.3142,2
22,0.4437,1
23,0.3669,1
24,0.3394,2
24,0.4673,1
24,0.32180000000000003,2
24,0.8194,1
24,0.5317000000000001,1
24,0.5671,1
24,0.5237,2
24,0.5728,1
24,0.4679,2
24,0.7108,1
24,0.6359,1
24,0.5297999999999999,1
24,0.5172,1
24,0.5602999999999999,1
23,0.6119,1
22,0.5642,1
21,0.4565,1
20,0.5576,1
19,0.4512,2
18,0.8225,1
17,0.6459,1
16,0.7542000000000001,1
15,0.6759,1
14,0.8259,1
13,0.5204,1
12,0.3548,1
11,0.447,2
10,0.266,2
9,0.30219999999999997,1
8,0.4355,1
7,0.2412,1
6,0.1702,1
5,0.2282,1
4,0.25989999999999996,1
3,0.2211,2
