pacc,rt,accumulator
9,0.2012,1
10,0.1556,1
11,0.311,2
12,0.17980000000000002,2
13,0.30689999999999995,1
14,0.2003,1
15,0.3325,2
16,0.3128,1
17,0.5875,1
18,0.291,1
19,0.3855,2
20,0.7696000000000001,1
21,0.5119,1
22,0.4623,1
23,0.681,2
24,0.5507000000000001,1
24,0.4501,1
24,0.9153,1
24,0.6647000000000001,1
24,0.5606,1
23,0.489,1
22,0.5149,1
21,0.8709,1
20,0.6391,2
19,0.4603,1
18,0.31710000000000005,1
17,0.45039999999999997,1
16,0.48960000000000004,1
15,0.3065,2
14,0.3097,1
13,0.2898,1
12,0.4121,2
11,0.5187,1
10,0.4753,1
9,0.7205,1
8,0.7365,1
7,0.5686,1
6,0.21,2
5,0.1715,2
4,0.2341,1
3,0.2286,1
2,0.18480000000000002,2
3,0.31339999999999996,2
4,0.2374,1
5,0.18180000000000002,1
6,0.3618,1
7,0.2087,1
8,0.1623,2
9,0.38839999999999997,2
10,0.3525,1
11,0.44889999999999997,2
12,0.3951,2
13,0.36369999999999997,1
14,0.4955,1
15,0.6141,1
16,0.4172,1
17,0.7551,2
18,0.8002999999999999,1
19,0.5085,1
20,0.30419999999999997,1
21,0.45480000000000004,2
22,0.5668,1
23,0.5882999999999999,1
24,0.4809,2
24,0.6982999999999999,1
24,0.512,1
24,0.4214,1
24,0.9555,1
24,0.9455,1
23,0.43310000000000004,1
22,0.2718,1
21,0.3103,1
20,0.3542,2
18,0.7062999999999999,2
17,0.4806,1
16,0.5127,1
15,0.39139999999999997,2
14,0.6006,1
13,0.4744,2
12,0.68,1
11,0.2363,2
10,0.15769999999999998,2
9,0.154,1
8,0.365,1
7,0.1804,2
6,0.2384,1
5,0.1979,1
4,0.2503,1
3,0.43,2
2,0.2422,1
1,0.2835,1
1,0.1913,2
2,0.2294,2
3,0.2092,1
4,0.2511,2
5,0.41919999999999996,1
6,0.2293,2
7,0.1904,1
8,0.19640000000000002,1
9,0.1606,2
10,0.2799,1
11,0.1656,2
12,0.29919999999999997,1
13,0.3152,1
14,0.4977,1
15,0.4703,1
16,0.426,1
17,0.3427,1
16,0.3153,2
15,0.4767,1
14,0.5285,1
13,0.5522,2
12,0.5143,2
11,0.3217,2
10,0.2817,2
9,0.195,1
8,0.256,1
7,0.1782,2
6,0.18259999999999998,1
5,0.1765,1
6,0.1707,1
7,0.1646,2
8,0.2511,1
9,0.25930000000000003,2
10,0.29610000000000003,1
11,0.4094,1
12,0.2,1
13,0.1743,1
14,0.299,2
15,0.4639,1
16,0.3946,1
17,0.26280000000000003,1
18,0.42,2
19,0.3959,2
20,0.21480000000000002,1
21,0.2803,1
22,0.49069999999999997,2
24,0.9067999999999999,1
24,0.8747999999999999,1
24,0.49310000000000004,1
24,0.5698,1
22,0.3559,1
21,0.3287,1
20,0.4811,1
19,0.3281,1
18,0.3319,1
17,0.43910000000000005,1
16,0.388,1
15,0.4002,1
14,0.4546,1
13,0.309,1
12,0.30319999999999997,1
11,0.2147,1
10,0.25689999999999996,1
9,0.21259999999999998,1
8,0.2307,1
7,0.18130000000000002,2
8,0.24669999999999997,2
9,0.2823,2
10,0.2447,1
11,0.1995,2
12,0.1987,2
13,0.5572999999999999,1
14,0.6496000000000001,1
15,0.5303,2
16,0.2362,2
17,0.5186000000000001,1
18,0.6364,1
19,0.922,1
20,0.8599,1
21,0.6404,1
20,0.669,1
19,0.3227,1
18,0.4685,1
17,0.5197999999999999,1
16,0.3945,1
15,0.3992,2
14,0.5814,1
13,0.6136,1
12,0.5893999999999999,1
11,0.7595,1
10,0.35769999999999996,1
9,0.3831,1
8,0.2008,2
7,0.1948,1
6,0.2553,1
5,0.1999,1
4,0.1894,2
5,0.1804,1
6,0.18030000000000002,2
7,0.2002,1
8,0.5316000000000001,1
9,0.4123,2
10,0.5276000000000001,1
11,0.5221,1
12,0.4694,2
13,0.7747,1
14,0.611,2
15,0.8181,1
16,0.697,1
17,0.4731,1
18,0.4088,1
19,0.5986,2
20,0.6942999999999999,1
21,0.8089,1
22,0.4739,1
23,0.7031000000000001,1
24,0.4505,1
22,0.6185,2
21,0.6518999999999999,1
20,0.7556,1
19,0.5898,1
18,0.6494,1
17,0.6021,1
16,0.4062,1
15,0.3692,2
14,0.538,1
13,0.5078,1
12,0.4022,1
11,0.4593,1
10,0.4743,1
9,0.2114,1
8,0.18569999999999998,2
7,0.2708,1
6,0.218,1
5,0.2191,2
6,0.1865,2
7,0.2055,1
8,0.1879,2
9,0.2796,2
10,0.389,2
11,0.4273,2
12,0.5161,1
13,0.6001000000000001,1
14,0.5828,1
15,0.5376000000000001,1
16,0.5027,1
15,0.49119999999999997,1
14,0.36960000000000004,1
13,0.4736,2
12,0.5438,1
11,0.5901000000000001,2
10,0.4036,1
9,0.2376,2
8,0.2015,2
7,0.2185,1
6,0.24780000000000002,1
5,0.3163,2
4,0.2419,2
3,0.2077,1
2,0.231,1
1,0.2817,1
0,0.2442,1
23,0.5201,1
22,0.5124,1
21,0.583,1
20,0.4507,2
19,0.8002,1
16,0.7666000000000001,1
15,0.4687,1
14,0.5567000000000001,1
13,0.4992,1
12,0.5941000000000001,1
11,0.5076,1
10,0.7222000000000001,1
9,0.1771,1
8,0.2045,1
7,0.21480000000000002,1
6,0.1799,2
5,0.18430000000000002,2
6,0.2055,2
8,0.1851,2
9,0.2328,2
10,0.26830000000000004,1
11,0.2282,2
12,0.44239999999999996,1
13,0.482,2
14,0.31589999999999996,2
15,0.6497999999999999,1
16,0.5258999999999999,1
17,0.6427999999999999,1
18,0.5153,1
19,0.444,1
16,0.6255,1
15,0.5976,1
14,0.5287999999999999,1
13,0.537,1
12,0.609,1
10,0.573,1
9,0.2278,1
8,0.2311,2
7,0.2581,2
6,0.1918,2
5,0.1886,2
6,0.19340000000000002,2
7,0.1925,1
8,0.37389999999999995,1
9,0.21530000000000002,2
10,0.6862,2
11,0.283,1
12,0.3138,1
13,0.5002,1
14,0.39139999999999997,1
15,0.3665,2
16,0.44060000000000005,1
17,0.4023,1
18,0.6562,1
19,0.8148,1
20,0.4511,2
21,0.7269,2
22,0.3911,1
23,0.417,1
24,0.7034,1
24,0.3358,1
24,0.44789999999999996,1
24,0.6902999999999999,1
24,0.4612,1
24,0.3862,2
24,0.9517,1
24,0.6691,1
24,0.5411,1
24,0.5709,1
24,0.36839999999999995,2
24,0.5053,1
24,0.5535,1
24,0.4466,1
24,0.5719,1
24,0.6254,1
22,0.3945,2
21,0.3725,1
20,0.36119999999999997,2
19,0.5616,1
18,0.6507999999999999,2
17,0.6798,1
16,0.5202,1
15,0.48769999999999997,1
14,0.5488,1
13,0.3797,2
12,0.5922000000000001,1
11,0.5262,2
10,0.49160000000000004,2
9,0.48810000000000003,1
8,0.1682,1
7,0.21,2
6,0.2495,1
5,0.2968,2
4,0.2353,1
3,0.2263,2
2,0.3326,2
1,0.3072,1
0,0.19540000000000002,1
0,0.1726,2
0,0.2295,1
0,0.2007,1
0,0.2347,1
1,0.2849,2
2,0.18080000000000002,1
3,0.19,1
4,0.21559999999999999,2
5,0.1896,1
6,0.24209999999999998,1
7,0.44789999999999996,2
8,0.18780000000000002,2
9,0.4158,1
10,0.18180000000000002,1
11,0.1603,2
12,0.4107,1
13,0.31260000000000004,1
14,0.4184,1
15,0.2005,1
16,0.3608,1
17,0.37360000000000004,2
18,0.9361,2
19,0.363,2
20,0.5864,1
22,0.7189,2
23,0.7303999999999999,1
24,0.5691,2
24,0.7132999999999999,2
24,0.7505,2
24,0.6123,1
24,0.604,1
24,0.5253,1
24,0.689,2
24,0.8369,2
24,0.7012999999999999,1
24,0.5492999999999999,1
24,0.6988,2
24,0.5744,1
24,0.9008999999999999,1
24,0.6098,2
24,0.9066000000000001,1
24,0.5873999999999999,1
24,0.5215,1
24,0.9618,1
24,0.4689,2
24,0.6678999999999999,1
24,0.8882000000000001,1
24,0.6481,1
24,0.5374,1
24,0.5125,1
22,0.5592,1
21,0.43289999999999995,1
20,0.6757000000000001,1
19,0.39130000000000004,1
18,0.5892999999999999,1
17,0.5935,1
16,0.8766,1
15,0.2799,2
14,0.6892,1
13,0.2304,2
12,0.2194,2
11,0.1971,2
10,0.19019999999999998,1
9,0.2204,1
10,0.6336,2
11,0.6247999999999999,1
12,0.5472,1
13,0.4762,1
14,0.6277999999999999,1
15,0.49069999999999997,1
14,0.7495,1
13,0.7086,1
12,0.5454,1
11,0.8919,1
10,0.207,2
9,0.2038,1
8,0.4052,2
7,0.21380000000000002,2
6,0.1968,1
5,0.1697,1
4,0.2325,2
3,0.1747,1
4,0.8314,2
5,0.2457,1
6,0.4796,1
7,0.2225,1
8,0.3334,1
9,0.21030000000000001,2
10,0.6544,2
12,0.7104,1
13,0.43069999999999997,1
14,0.671,1
15,0.4557,1
14,0.506,1
13,0.43860000000000005,2
12,0.9267000000000001,2
11,0.4432,2
10,0.6274,1
9,0.6584,1
8,0.5599,1
7,0.5108,1
6,0.3831,1
5,0.2042,2
4,0.2047,1
3,0.1865,2
2,0.36110000000000003,1
1,0.19569999999999999,1
0,0.1894,1
0,0.2302,2
0,0.42269999999999996,1
0,0.1824,2
0,0.2611,2
0,0.19640000000000002,1
0,0.1928,1
0,0.1739,1
1,0.2169,1
2,0.21280000000000002,2
3,0.2122,2
4,0.21309999999999998,1
5,0.2084,2
6,0.3778,2
7,0.1759,1
8,0.19080000000000003,2
9,0.4646,1
10,0.2024,1
11,0.18819999999999998,1
12,0.172,1
13,0.173,1
14,0.17909999999999998,2
15,0.4185,1
16,0.5176000000000001,1
17,0.2875,2
18,0.1886,2
19,0.5163,1
20,0.3534,1
21,0.3673,2
22,0.4023,1
23,0.2788,1
24,0.5012,1
24,0.5832,1
24,0.49319999999999997,2
24,0.7383,1
24,0.8268,1
24,0.9087999999999999,1
24,0.5535,1
24,0.8446,1
22,0.6003,1
21,0.7765,1
20,0.817,1
19,0.4708,1
18,0.4511,1
17,0.6,1
16,0.58,2
15,0.3321,2
14,0.3291,1
13,0.4767,1
12,0.24969999999999998,1
11,0.4634,1
10,0.4689,1
9,0.38489999999999996,2
8,0.16040000000000001,2
7,0.1871,1
6,0.1976,2
5,0.229,2
4,0.5719,1
3,0.1596,2
2,0.2295,1
1,0.1686,1
0,0.48719999999999997,2
0,0.1921,2
0,0.1676,2
0,0.178,1
0,0.1747,1
0,0.2013,2
1,0.18130000000000002,2
2,0.3364,1
3,0.21619999999999998,2
4,0.1674,1
5,0.1993,2
6,0.1985,2
7,0.3063,1
8,0.6785,1
9,0.2166,1
10,0.19219999999999998,1
11,0.2059,2
12,0.2033,1
13,0.2087,2
14,0.4432,1
15,0.7203999999999999,1
16,0.4678,1
17,0.5007,1
18,0.3585,1
2,0.1885,2
3,0.1996,2
4,0.2343,2
5,0.26389999999999997,1
6,0.3361,1
7,0.4129,1
8,0.3575,2
10,0.2918,2
11,0.1955,1
12,0.18780000000000002,2
14,0.3555,2
15,0.407,1
16,0.7181000000000001,1
17,0.4219,2
18,0.5902999999999999,1
19,0.7094,2
21,0.37089999999999995,1
22,0.3389,2
23,0.2329,2
24,0.6427,2
24,0.5386,1
24,0.5772999999999999,2
24,0.4824,1
24,0.5618,1
24,0.811,1
23,0.42260000000000003,1
22,0.3549,2
21,0.2804,1
20,0.4466,1
19,0.4461,1
18,0.6543,1
17,0.516,1
16,0.4775,1
15,0.3423,1
14,0.4047,1
13,0.3895,1
12,0.4147,2
11,0.257,2
10,0.3963,2
9,0.2015,1
8,0.6688999999999999,2
7,0.18769999999999998,1
6,0.2349,1
5,0.2798,1
4,0.19090000000000001,1
3,0.2034,2
2,0.18380000000000002,2
1,0.1956,1
0,0.2245,2
1,0.4033,1
2,0.21880000000000002,1
3,0.22069999999999998,1
4,0.2152,2
5,0.1928,2
6,0.19169999999999998,1
7,0.2037,1
8,0.29560000000000003,2
9,0.21059999999999998,1
