pacc,rt,accumulator
4,0.39289999999999997,1
5,0.5127999999999999,1
6,0.3985,1
7,0.4213,2
8,0.648,1
9,0.42,1
10,0.5691,1
11,0.5611,1
12,0.6274,1
13,0.4982,1
12,0.43910000000000005,1
11,0.97,1
10,0.3638,1
9,0.42210000000000003,1
8,0.2815,1
7,0.21730000000000002,1
6,0.30210000000000004,1
5,0.2316,1
4,0.4047,1
3,0.2394,1
2,0.19590000000000002,1
1,0.1787,2
0,0.1732,2
0,0.1989,1
1,0.1646,2
2,0.2401,1
3,0.2753,1
4,0.2399,1
5,0.2352,1
6,0.3549,1
7,0.3692,1
8,0.4205,1
9,0.3534,1
10,0.3638,2
11,0.44939999999999997,1
12,0.5056,1
13,0.4658,1
14,0.4171,1
15,0.5529,1
16,0.4148,1
15,0.7451,1
14,0.4176,1
13,0.4133,1
12,0.5368999999999999,1
11,0.34,2
10,0.4567,1
9,0.56,1
8,0.3951,1
7,0.3949,1
6,0.3488,1
5,0.26780000000000004,2
4,0.49260000000000004,1
3,0.2592,2
2,0.2809,2
1,0.1762,1
0,0.1839,2
0,0.1829,2
0,0.2058,1
0,0.18059999999999998,2
1,0.18569999999999998,2
2,0.215,2
3,0.30810000000000004,2
4,0.406,1
5,0.36460000000000004,2
6,0.3956,2
7,0.4775,1
8,0.31980000000000003,1
9,0.3439,1
10,0.7387999999999999,1
11,0.3609,1
12,0.3343,1
11,0.2512,1
10,0.4059,1
9,0.31739999999999996,1
8,0.3276,2
7,0.6145,1
6,0.2549,2
5,0.5416,2
4,0.7603,1
3,0.1988,2
2,0.2434,1
1,0.221,2
0,0.1899,2
0,0.2016,1
0,0.21530000000000002,1
0,0.19640000000000002,2
1,0.1974,2
2,0.2016,1
3,0.2818,1
4,0.2357,2
5,0.30989999999999995,2
6,0.7664,1
7,0.4512,1
8,0.696,1
9,0.7797000000000001,1
10,0.42269999999999996,1
11,0.6845,1
10,0.4293,1
9,0.5872999999999999,1
8,0.4435,2
7,0.22419999999999998,2
6,0.2728,1
5,0.22169999999999998,1
4,0.198,1
3,0.2988,1
2,0.1432,2
1,0.21880000000000002,1
0,0.18580000000000002,2
0,0.186,1
0,0.189,2
1,0.3944,2
2,0.18930000000000002,1
3,0.2221,1
4,0.1824,2
5,0.2389,2
6,0.6187,1
7,0.32389999999999997,1
8,0.49960000000000004,2
9,0.4962,2
10,0.4576,1
11,0.4651,1
12,0.3979,1
13,0.991,1
14,0.3787,1
15,0.41960000000000003,1
14,0.3423,2
13,0.55,2
12,0.44339999999999996,1
11,0.5448,2
10,0.6464,1
9,0.4065,2
8,0.37910000000000005,2
7,0.2919,2
6,0.2835,1
5,0.2868,2
4,0.3679,1
3,0.2311,2
2,0.1839,1
1,0.2053,1
0,0.1904,2
0,0.1846,1
1,0.21159999999999998,2
2,0.2359,2
3,0.2209,1
4,0.3574,2
5,0.37110000000000004,1
6,0.426,2
7,0.5018,1
8,0.3808,2
9,0.4823,2
10,0.6691,1
11,0.352,1
12,0.7863,1
13,0.6023999999999999,2
14,0.5363,1
15,0.5378999999999999,1
16,0.49210000000000004,1
17,0.4161,1
18,0.7315,1
19,0.49689999999999995,1
18,0.5517000000000001,1
17,0.5161,1
16,0.5942999999999999,2
15,0.9011,2
14,0.4233,1
13,0.5049,1
12,0.6538999999999999,1
11,0.4618,1
10,0.3763,1
9,0.598,1
8,0.44430000000000003,2
7,0.3821,1
6,0.39130000000000004,2
5,0.3985,1
4,0.4163,2
3,0.19690000000000002,2
2,0.2005,1
1,0.1936,2
0,0.17859999999999998,2
0,0.18409999999999999,2
1,0.2053,2
2,0.18969999999999998,1
3,0.22169999999999998,2
4,0.2577,2
5,0.3474,1
6,0.4081,1
7,0.35760000000000003,2
8,0.3826,2
9,0.534,1
10,0.4123,1
11,0.6082000000000001,1
12,0.4378,2
13,0.4087,1
14,0.4584,1
15,0.5045,1
16,0.4582,1
17,0.43510000000000004,2
18,0.7887000000000001,2
19,0.7533,1
20,0.7497999999999999,2
21,0.6013999999999999,2
22,0.75,1
24,0.8815,1
24,0.9389,1
24,0.748,2
24,0.6444,1
24,0.6922999999999999,1
24,0.9642999999999999,1
24,0.8634,1
24,0.7195,1
23,0.6958,1
22,0.679,1
21,0.5824,1
20,0.5709,1
19,0.5161,1
18,0.5678,2
17,0.9541000000000001,1
16,0.7853,1
15,0.7257,1
14,0.4865,1
13,0.5297000000000001,1
12,0.37039999999999995,2
11,0.4526,2
10,0.6576000000000001,1
9,0.5498,2
8,0.5068,1
7,0.6578999999999999,1
6,0.3633,1
5,0.36319999999999997,1
4,0.5221,1
3,0.2253,2
2,0.2281,2
1,0.1763,1
0,0.192,1
0,0.1834,1
1,0.18830000000000002,2
2,0.1988,2
3,0.1744,2
4,0.1851,1
5,0.38630000000000003,1
6,0.4589,2
7,0.634,2
8,0.842,1
9,0.4486,1
10,0.424,2
11,0.7845,1
12,0.42219999999999996,1
13,0.6745,2
14,0.4015,1
15,0.5425,1
